epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,26035.6,2.6986,2.5746,0.96312,0.03513,0.94061,0.10223,0.04682,2.10408,2.17672,0.92672,0.0049015,0.0049015,0.0049015
105,26285.3,2.69945,2.5792,0.9633,0.03506,0.94203,0.1021,0.04675,2.10056,2.17662,0.92639,0.004852,0.004852,0.004852
106,26538.3,2.68657,2.56822,0.96136,0.03512,0.94379,0.10267,0.04714,2.08932,2.17353,0.92525,0.0048025,0.0048025,0.0048025
107,26790.5,2.6869,2.57242,0.96281,0.03685,0.93313,0.10314,0.0476,2.07631,2.16978,0.92389,0.004753,0.004753,0.004753
108,27042.5,2.68841,2.57079,0.96276,0.0369,0.93334,0.10321,0.04782,2.06652,2.16738,0.92293,0.0047035,0.0047035,0.0047035
109,27295.3,2.68592,2.56884,0.96098,0.03837,0.925,0.10355,0.04809,2.05905,2.16477,0.92221,0.004654,0.004654,0.004654
110,27547.3,2.6677,2.55909,0.96062,0.03836,0.92661,0.1037,0.04815,2.05438,2.16385,0.92174,0.0046045,0.0046045,0.0046045
111,27798.8,2.67682,2.56267,0.96029,0.03841,0.92891,0.10422,0.04863,2.04189,2.1609,0.92045,0.004555,0.004555,0.004555
112,28051.8,2.66464,2.55415,0.9591,0.04023,0.91921,0.105,0.04935,2.02642,2.15525,0.91888,0.0045055,0.0045055,0.0045055
113,28305.3,2.67224,2.56321,0.95972,0.04008,0.92276,0.10566,0.04982,2.018,2.15253,0.91814,0.004456,0.004456,0.004456
114,28558.7,2.6755,2.56141,0.96008,0.0401,0.92443,0.10605,0.05022,2.00825,2.15023,0.91714,0.0044065,0.0044065,0.0044065
115,28811.5,2.6574,2.55888,0.95959,0.04184,0.9151,0.10688,0.05087,1.99638,2.14528,0.91599,0.004357,0.004357,0.004357
116,29065.7,2.65739,2.54419,0.95859,0.04226,0.91382,0.1075,0.05158,1.98073,2.13979,0.91442,0.0043075,0.0043075,0.0043075
117,29320.1,2.65616,2.55266,0.95818,0.04381,0.90485,0.10807,0.05202,1.97485,2.13694,0.91392,0.004258,0.004258,0.004258
118,29570.7,2.64911,2.54396,0.9572,0.04415,0.90648,0.1089,0.05267,1.96042,2.13148,0.91261,0.0042085,0.0042085,0.0042085
119,29821.6,2.64059,2.53881,0.95703,0.04583,0.8977,0.10941,0.05307,1.95358,2.12756,0.91193,0.004159,0.004159,0.004159
120,30073.7,2.65131,2.55123,0.95794,0.04629,0.89831,0.1102,0.05384,1.94059,2.12203,0.91069,0.0041095,0.0041095,0.0041095
121,30325.9,2.64328,2.53966,0.95695,0.04636,0.90061,0.11073,0.0543,1.93349,2.11856,0.9101,0.00406,0.00406,0.00406
122,30575.1,2.63462,2.53579,0.95676,0.04774,0.89293,0.11109,0.05452,1.92939,2.11705,0.90975,0.0040105,0.0040105,0.0040105
123,30828.4,2.62449,2.52454,0.95481,0.04788,0.89601,0.11204,0.05539,1.91747,2.11149,0.90866,0.003961,0.003961,0.003961
124,31080.2,2.62641,2.53078,0.9559,0.04942,0.88783,0.11266,0.05597,1.91167,2.1084,0.90811,0.0039115,0.0039115,0.0039115
125,31331.1,2.62067,2.52612,0.9551,0.04945,0.88969,0.11289,0.05631,1.90499,2.10505,0.90755,0.003862,0.003862,0.003862
126,31583.3,2.6272,2.53023,0.95613,0.04936,0.89342,0.11362,0.0569,1.89998,2.10271,0.90711,0.0038125,0.0038125,0.0038125
127,31836.4,2.61895,2.52694,0.95469,0.05114,0.88608,0.11429,0.05743,1.89266,2.09869,0.9065,0.003763,0.003763,0.003763
128,32087.1,2.61933,2.52426,0.95464,0.05082,0.89136,0.11482,0.05763,1.8945,2.09797,0.90667,0.0037135,0.0037135,0.0037135
129,32338.4,2.61002,2.52714,0.95443,0.0509,0.89348,0.11535,0.05825,1.88706,2.09485,0.90606,0.003664,0.003664,0.003664
130,32589.7,2.60481,2.51106,0.95289,0.05285,0.88548,0.11604,0.05889,1.87503,2.08965,0.90508,0.0036145,0.0036145,0.0036145
131,32838,2.59741,2.50917,0.95225,0.0528,0.88916,0.11653,0.05929,1.86966,2.08669,0.90467,0.003565,0.003565,0.003565
132,33086.3,2.60234,2.51436,0.95238,0.05314,0.89031,0.117,0.05983,1.86077,2.08204,0.90381,0.0035155,0.0035155,0.0035155
133,33337.3,2.59709,2.51014,0.95237,0.05495,0.88198,0.11742,0.06021,1.85463,2.07932,0.90338,0.003466,0.003466,0.003466
134,33589.1,2.60003,2.51188,0.95223,0.05524,0.88248,0.11798,0.06073,1.84795,2.07702,0.90299,0.0034165,0.0034165,0.0034165
135,33839.8,2.58293,2.50185,0.95062,0.05546,0.88442,0.11848,0.06111,1.84061,2.07426,0.9024,0.003367,0.003367,0.003367
136,34091.9,2.58494,2.49942,0.94992,0.05599,0.8866,0.11921,0.06178,1.82771,2.06856,0.90132,0.0033175,0.0033175,0.0033175
137,34342.2,2.5857,2.50395,0.95072,0.0561,0.88796,0.11959,0.0619,1.82476,2.06719,0.90116,0.003268,0.003268,0.003268
138,34594.6,2.58355,2.49971,0.95055,0.05656,0.88996,0.12039,0.06248,1.81339,2.06216,0.90025,0.0032185,0.0032185,0.0032185
139,34848.2,2.56611,2.49262,0.94861,0.05842,0.88325,0.1209,0.06305,1.80738,2.05932,0.89982,0.003169,0.003169,0.003169
140,35100.9,2.57948,2.4944,0.94908,0.05862,0.8859,0.12135,0.0634,1.80315,2.0567,0.89955,0.0031195,0.0031195,0.0031195
141,35353.5,2.56664,2.49208,0.94876,0.05885,0.8866,0.12182,0.06383,1.79588,2.05295,0.89901,0.00307,0.00307,0.00307
142,35607,2.55931,2.48509,0.94875,0.06101,0.87933,0.12255,0.06444,1.78532,2.04765,0.89813,0.0030205,0.0030205,0.0030205
143,35858.5,2.56073,2.4861,0.94827,0.06306,0.87042,0.12312,0.06498,1.77456,2.04253,0.89739,0.002971,0.002971,0.002971
144,36109.4,2.55591,2.47858,0.94699,0.06327,0.87288,0.12354,0.06531,1.76711,2.03963,0.89688,0.0029215,0.0029215,0.0029215
145,36360.6,2.5491,2.47833,0.94735,0.06554,0.86462,0.12432,0.06585,1.75764,2.03509,0.89614,0.002872,0.002872,0.002872
146,36612.9,2.55366,2.47769,0.94682,0.06617,0.86481,0.12481,0.06637,1.74856,2.03045,0.89541,0.0028225,0.0028225,0.0028225
147,36865.8,2.53612,2.46851,0.94532,0.06634,0.86556,0.12509,0.06661,1.74605,2.02809,0.89515,0.002773,0.002773,0.002773
148,37116.2,2.52567,2.46513,0.94462,0.06868,0.85762,0.12568,0.06679,1.74096,2.0251,0.89472,0.0027235,0.0027235,0.0027235
149,37369.3,2.53224,2.46798,0.94453,0.06923,0.85885,0.12613,0.06702,1.73546,2.0225,0.89425,0.002674,0.002674,0.002674
150,37621.1,2.53165,2.47119,0.94465,0.06953,0.86059,0.12667,0.06722,1.73244,2.02076,0.89383,0.0026245,0.0026245,0.0026245
151,37871.7,2.52651,2.46382,0.9441,0.07007,0.86042,0.12713,0.06745,1.72991,2.01954,0.89364,0.002575,0.002575,0.002575
152,38122.6,2.53178,2.46795,0.94571,0.07047,0.86193,0.12737,0.0674,1.72807,2.01818,0.89338,0.0025255,0.0025255,0.0025255
153,38376.4,2.51931,2.45735,0.94422,0.07034,0.86628,0.1279,0.06743,1.73036,2.01795,0.89354,0.002476,0.002476,0.002476
154,38627.5,2.51027,2.44837,0.94218,0.0706,0.86696,0.12809,0.06752,1.73135,2.01727,0.89359,0.0024265,0.0024265,0.0024265
155,38875.8,2.51774,2.45357,0.944,0.07066,0.86939,0.12849,0.06757,1.73334,2.01691,0.89385,0.002377,0.002377,0.002377
156,39126.9,2.50167,2.44264,0.94129,0.07126,0.87082,0.12903,0.06788,1.72659,2.01358,0.89322,0.0023275,0.0023275,0.0023275
157,39379.4,2.4967,2.43623,0.94083,0.07358,0.86392,0.12949,0.06827,1.72065,2.01011,0.89256,0.002278,0.002278,0.002278
158,39631.8,2.49709,2.44026,0.94137,0.07374,0.86619,0.12991,0.0685,1.71787,2.00847,0.89221,0.0022285,0.0022285,0.0022285
159,39882.3,2.49342,2.43437,0.94087,0.07365,0.86839,0.13014,0.06891,1.71329,2.00599,0.89183,0.002179,0.002179,0.002179
160,40133.9,2.48406,2.42435,0.93924,0.0739,0.87011,0.13052,0.06874,1.7164,2.00537,0.89194,0.0021295,0.0021295,0.0021295
161,40385.4,2.47617,2.42135,0.93831,0.07618,0.8626,0.1311,0.06898,1.71169,2.00116,0.89133,0.00208,0.00208,0.00208
162,40638.2,2.48464,2.42122,0.93972,0.07687,0.86118,0.13119,0.06838,1.71789,2.00242,0.89168,0.0020305,0.0020305,0.0020305
163,40890.5,2.47658,2.41599,0.93846,0.07928,0.85441,0.1316,0.06821,1.7186,1.9999,0.89151,0.001981,0.001981,0.001981
164,41141.7,2.467,2.39995,0.93753,0.07969,0.85707,0.13226,0.06915,1.7032,1.99449,0.89027,0.0019315,0.0019315,0.0019315
165,41392,2.45881,2.39816,0.93673,0.08221,0.84914,0.13256,0.06903,1.70331,1.99252,0.88997,0.001882,0.001882,0.001882
